id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type
PS_52237,"Cargador Inalámbrico Belkin Wireless 15W Qi para iPhone, Samsung Galaxy, Pixel y AirPods","Carga tus dispositivos de forma rápida y segura con el Belkin Wireless Charging Pad 15W. Compatible con iPhone 16/15/14/13, Samsung Galaxy, Google Pixel y AirPods con tecnología Qi. Diseño compacto y cable incluido.",in stock,new,3500.00 DOP,2500.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/06/516jqyMLxL._AC_SL1500_.jpg,JeiperdStore,Accesorios
PS_53414,Cargador Anker Prime 67W GaN de Pared – Carga Rápida con 3 Puertos USB,"Cargador Anker Prime 67W GaN con 3 puertos de carga rápida. Diseño compacto y plegable, ideal para cargar simultáneamente iPhone, Samsung, tablets.",in stock,new,6000.00 DOP,4700.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/06/Rectangle8-1-scaled.png,JeiperdStore,Accesorios de Celulares/Tabletas
PS_25661,"Cargador Portátil Sendem De Carga Rapida y 10,000mAh 22.5W Con Enchufe Integrado y Cable USB-C","Cargador Portátil Sendem de 10,000 mAh con carga rápida de 22.5W, enchufe integrado, cable USB-C incorporado y pantalla LED.",in stock,new,4500.00 DOP,3000.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/06/cargador-sendem.png,JeiperdStore,Accesorios
PS_14129,Micrófono Inalámbrico (F11-2) 3 en 1 con Cancelación de Ruido,"Micrófono inalámbrico F11-2 3 en 1 con cancelación de ruido, doble transmisor y amplia compatibilidad con Android, iPhone, cámaras y laptops.",in stock,new,4500.00 DOP,3500.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/06/61kXUTQnP2L._SL1440_.jpg,JeiperdStore,Accesorios
PS_62137,Audífonos Gamer KOTION GS400 Ultra Inalámbricos,"Audífonos Gamer Kotion Each GS400 Ultra inalámbricos con luces LED RGB, micrófono integrado y conexión USB. Sonido envolvente, comodidad superior.",in stock,new,5000.00 DOP,4000.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/06/92ie-1.png,JeiperdStore,Accesorios
PS_46911,Cargador Portátil Anker 15W 20000mAh – Carga Rápida y Energía Para Todo el Día,"Cargador Portátil Anker 20000mAh con carga rápida de 15W, pantalla digital y capacidad para cargar hasta 3 dispositivos simultáneamente.",in stock,new,5500.00 DOP,4500.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/05/74ea3e0f-322c-4ec4-adf9-122af280c025.77d8707a1c2ba7ae96827e57eb695c0b.jpg,JeiperdStore,Accesorios
id151193,Audífonos Inalambricos Bluetooth TOZO Open EarRing – Comodidad Y Durabilidad,"Audífonos Inalambricos Bluetooth TOZO Open EarRing con diseño abierto tipo clip, sonido inalámbrico cómodo y seguro, batería de larga duración.",in stock,new,5500.00 DOP,4000.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/05/s-l400.jpg,JeiperdStore,Accesorios
PS_78846,Estación De Carga Portátil Arkpax Core 300W – Batería LiFePO4 192Wh Con Carga Rápida,"Estación de carga portátil con batería LiFePO4 de larga duración, más de 3000 ciclos de carga y hasta 80% de retención de capacidad. Potencia confiable.",in stock,new,20500.00 DOP,15500.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/05/61I4rEWTGlL._AC_SL1461_.jpg,JeiperdStore,Accesorios
PS_42562,Cepillo Eléctrico Sokany Limpieza 8 En 1 Recargable Con Pantalla LED,"Cepillo Eléctrico Sokany Limpieza 8 en 1 recargable con pantalla LED, batería 2000mAh, resistencia IPX7, mango extensible y hasta 100 min de uso continuo.",in stock,new,4500.00 DOP,3000.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/05/qq.png,JeiperdStore,Accesorios
PS_94985,"Cargador Portátil Anker PowerCore Nano 10,000 mah 30W Con Cable USB-C Integrado","Cargador Portátil Anker PowerCore Nano 10,000 mah 30W Con Cable USB-C Integrado",in stock,new,6500.00 DOP,5200.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2026/05/51dF9o-edkL._AC_SL1500_.jpg,JeiperdStore,Accesorios
